Fragment,202,202
IsotopeRatio,13C/UnSub,2x13C/UnSub
ScanByScan Avg R Val,0.16867958344230904,0.011942396920763708
Integrated Avg R val,0.16850896070081117,0.01204421309027303
N,4.0,4.0
ScanStdDev,0.001891993827341692,0.00027271205186350545
ScanStdError,0.000945996913670846,0.00013635602593175272
ScanRelStdError,0.005608247864771323,0.011417810581615877
IntStdDev,0.0015561961491987778,0.000259064881723766
IntStdError,0.0007780980745993889,0.000129532440861883
IntRelStdError,0.0046175471699745835,0.010754745029087378
